player,position,dob,caps,club,flag,year,start_date,country,dob_dt,days_old
Cory Hill,Lock,10 February 1992,24.0,Dragons,,2019,2019-09-20,Wales,1992-02-10,10084.0
Alun Wyn Jones (c),Lock,19 September 1985,127.0,Ospreys,,2019,2019-09-20,Wales,1985-09-19,12419.0
James Davies,Back row,25 October 1990,5.0,Scarlets,,2019,2019-09-20,Wales,1990-10-25,10557.0
Ross Moriarty,Back row,18 April 1994,33.0,Dragons,,2019,2019-09-20,Wales,1994-04-18,9286.0
Josh Navidi,Back row,30 December 1990,18.0,Cardiff Blues,,2019,2019-09-20,Wales,1990-12-30,10491.0
Aaron Shingler,Back row,7 August 1987,20.0,Scarlets,,2019,2019-09-20,Wales,1987-08-07,11732.0
Justin Tipuric,Back row,6 August 1989,65.0,Ospreys,,2019,2019-09-20,Wales,1989-08-06,11002.0
Aaron Wainwright,Back row,25 September 1997,11.0,Dragons,,2019,2019-09-20,Wales,1997-09-25,8030.0
Aled Davies,Scrum-half,19 July 1992,19.0,Ospreys,,2019,2019-09-20,Wales,1992-07-19,9924.0
Gareth Davies,Scrum-half,18 August 1990,43.0,Scarlets,,2019,2019-09-20,Wales,1990-08-18,10625.0
Tomos Williams,Scrum-half,1 January 1995,8.0,Cardiff Blues,,2019,2019-09-20,Wales,1995-01-01,9028.0
Dan Biggar,Fly-half,16 October 1989,72.0,Northampton Saints,England,2019,2019-09-20,Wales,1989-10-16,10931.0
Rhys Patchell,Fly-half,17 May 1993,11.0,Scarlets,,2019,2019-09-20,Wales,1993-05-17,9622.0
Jonathan Davies,Centre,5 April 1988,75.0,Scarlets,,2019,2019-09-20,Wales,1988-04-05,11490.0
Hadleigh Parkes,Centre,5 October 1987,17.0,Scarlets,,2019,2019-09-20,Wales,1987-10-05,11673.0
Owen Watkin,Centre,12 October 1996,16.0,Ospreys,,2019,2019-09-20,Wales,1996-10-12,8378.0
Josh Adams,Wing,21 April 1995,13.0,Cardiff Blues,,2019,2019-09-20,Wales,1995-04-21,8918.0
Hallam Amos,Wing,24 September 1994,20.0,Cardiff Blues,,2019,2019-09-20,Wales,1994-09-24,9127.0
George North,Wing,13 April 1992,85.0,Ospreys,,2019,2019-09-20,Wales,1992-04-13,10021.0
Leigh Halfpenny,Fullback,22 December 1988,81.0,Scarlets,,2019,2019-09-20,Wales,1988-12-22,11229.0
Liam Williams,Fullback,9 April 1991,56.0,Saracens,England,2019,2019-09-20,Wales,1991-04-09,10391.0
John Olver,Hooker,23 April 1961,1.0,Northampton,England,1991,1991-10-03,England,1961-04-23,11120.0
Brian Moore,Hooker,11 January 1962,31.0,Harlequins F.C.,England,1991,1991-10-03,England,1962-01-11,10857.0
Gary Pearce,Prop,3 February 1956,35.0,Northampton,England,1991,1991-10-03,England,1956-02-03,13026.0
Jason Leonard,Prop,14 August 1968,9.0,Harlequins F.C.,England,1991,1991-10-03,England,1968-08-14,8450.0
Paul Rendall,Prop,18 February 1954,27.0,Wasps FC,England,1991,1991-10-03,England,1954-02-18,13741.0
Jeff Probyn,Prop,27 April 1956,24.0,Wasps FC,England,1991,1991-10-03,England,1956-04-27,12942.0
Paul Ackford,Lock,26 February 1958,17.0,Harlequins F.C.,England,1991,1991-10-03,England,1958-02-26,12272.0
Nigel Redman,Lock,16 August 1964,11.0,Bath Rugby,England,1991,1991-10-03,England,1964-08-16,9909.0
Wade Dooley,Lock,2 October 1957,41.0,Preston R.F.C.,England,1991,1991-10-03,England,1957-10-02,12419.0
Michael Skinner,Back row,26 November 1958,13.0,Harlequins F.C.,England,1991,1991-10-03,England,1958-11-26,11999.0
Peter Winterbottom,Back row,31 May 1960,43.0,Harlequins F.C.,England,1991,1991-10-03,England,1960-05-31,11447.0
Gary Rees,Back row,2 May 1960,22.0,Nottingham R.F.C.,England,1991,1991-10-03,England,1960-05-02,11476.0
Dean Richards,Back row,11 July 1963,27.0,Leicester F.C.,England,1991,1991-10-03,England,1963-07-11,10311.0
Mike Teague,Back row,8 October 1960,17.0,Gloucester Rugby,England,1991,1991-10-03,England,1960-10-08,11317.0
Richard Hill,Scrum-half,4 May 1961,23.0,Bath Rugby,England,1991,1991-10-03,England,1961-05-04,11109.0
Rob Andrew,Fly-half,18 February 1963,38.0,Wasps FC,England,1991,1991-10-03,England,1963-02-18,10454.0
Will Carling (c),Centre,12 December 1965,26.0,Harlequins F.C.,England,1991,1991-10-03,England,1965-12-12,9426.0
Jeremy Guscott,Centre,7 July 1965,13.0,Bath Rugby,England,1991,1991-10-03,England,1965-07-07,9584.0
Simon Halliday,Wing,13 July 1960,16.0,Harlequins F.C.,England,1991,1991-10-03,England,1960-07-13,11404.0
Nigel Heslop,Wing,4 December 1963,7.0,Orrell R.U.F.C.,England,1991,1991-10-03,England,1963-12-04,10165.0
Rory Underwood,Wing,19 June 1963,45.0,Leicester F.C.,England,1991,1991-10-03,England,1963-06-19,10333.0
Chris Oti,Wing,16 June 1965,11.0,Wasps FC,England,1991,1991-10-03,England,1965-06-16,9605.0
Jonathan Webb,Fullback,24 August 1963,18.0,Bath Rugby,England,1991,1991-10-03,England,1963-08-24,10267.0
Simon Hodgkinson,Fullback,15 December 1962,13.0,Nottingham R.F.C.,England,1991,1991-10-03,England,1962-12-15,10519.0
Carlo Orlandi,Hooker,1 November 1967,0.0,Rugby Lyons Piacenza,Italy,1991,1991-10-03,Italy,1967-11-01,8737.0
Giancarlo Pivetta,Hooker,18 June 1957,42.0,Benetton Rugby,Italy,1991,1991-10-03,Italy,1957-06-18,12525.0
Franco Properzi,Prop,4 November 1965,7.0,Amatori Rugby Milano,Italy,1991,1991-10-03,Italy,1965-11-04,9464.0
Massimo Cuttitta,Prop,2 September 1966,9.0,Amatori Rugby Milano,Italy,1991,1991-10-03,Italy,1966-09-02,9162.0
Guido Rossi,Prop,18 April 1959,45.0,Benetton Rugby,Italy,1991,1991-10-03,Italy,1959-04-18,11856.0
Giovanni Grespan,Prop,21 January 1967,6.0,Benetton Rugby,Italy,1991,1991-10-03,Italy,1967-01-21,9021.0
Carlo Checchinato,Lock,30 August 1970,3.0,Rugby Rovigo,Italy,1991,1991-10-03,Italy,1970-08-30,7704.0
Antonio Colella,Lock,4 September 1961,41.0,L'Aquila Rugby,Italy,1991,1991-10-03,Italy,1961-09-04,10986.0
Roberto Favaro,Lock,9 February 1965,20.0,Benetton Rugby,Italy,1991,1991-10-03,Italy,1965-02-09,9732.0
Giambattista Croci,Lock,28 July 1965,7.0,Amatori Rugby Milano,Italy,1991,1991-10-03,Italy,1965-07-28,9563.0
Massimo Giovanelli,Back row,1 March 1967,10.0,Amatori Rugby Milano,Italy,1991,1991-10-03,Italy,1967-03-01,8982.0
Gianni Zanon (c),Back row,3 March 1960,43.0,Benetton Rugby,Italy,1991,1991-10-03,Italy,1960-03-03,11536.0
Alessandro Bottacchiari,Back row,8 November 1955,0.0,L'Aquila Rugby,Italy,1991,1991-10-03,Italy,1955-11-08,13113.0
Roberto Saetti,Back row,27 November 1967,16.0,Petrarca Rugby,Italy,1991,1991-10-03,Italy,1967-11-27,8711.0
Ivan Francescato,Scrum-half,10 February 1967,4.0,Benetton Rugby,Italy,1991,1991-10-03,Italy,1967-02-10,9001.0
Francesco Pietrosanti,Scrum-half,3 December 1963,16.0,L'Aquila Rugby,Italy,1991,1991-10-03,Italy,1963-12-03,10166.0
Diego Dominguez,Fly-half,25 April 1966,6.0,Amatori Rugby Milano,Italy,1991,1991-10-03,Italy,1966-04-25,9292.0
Stefano Barba,Centre,10 January 1964,22.0,Amatori Rugby Milano,Italy,1991,1991-10-03,Italy,1964-01-10,10128.0
Massimo Bonomi,Centre,22 June 1967,10.0,Amatori Rugby Milano,Italy,1991,1991-10-03,Italy,1967-06-22,8869.0
Paolo Vaccari,Centre,17 January 1971,2.0,Rugby Calvisano,Italy,1991,1991-10-03,Italy,1971-01-17,7564.0
Stefano Bordon,Centre,2 February 1968,3.0,Rugby Rovigo,Italy,1991,1991-10-03,Italy,1968-02-02,8644.0
Fabio Gaetaniello,Centre,25 August 1958,27.0,Rugby Parma F.C.,Italy,1991,1991-10-03,Italy,1958-08-25,12092.0
Marcello Cuttitta,Wing,2 September 1966,17.0,Amatori Rugby Milano,Italy,1991,1991-10-03,Italy,1966-09-02,9162.0
Edgardo Venturi,Wing,27 July 1962,21.0,Rugby Rovigo,Italy,1991,1991-10-03,Italy,1962-07-27,10660.0
Daniele Tebaldi,Fullback,24 April 1961,15.0,Rugby Parma F.C.,Italy,1991,1991-10-03,Italy,1961-04-24,11119.0
Luigi Troiani,Fullback,25 February 1964,27.0,L'Aquila Rugby,Italy,1991,1991-10-03,Italy,1964-02-25,10082.0
Sean Fitzpatrick,Hooker,4 June 1963,34.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1963-06-04,10348.0
Steve McDowall,Prop,21 August 1961,35.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1961-08-21,11000.0
Graham Purvis,Prop,12 October 1961,0.0,Waikato,New Zealand,1991,1991-10-03,New Zealand,1961-10-12,10948.0
Graham Dowd,Prop,17 December 1963,0.0,North Harbour,New Zealand,1991,1991-10-03,New Zealand,1963-12-17,10152.0
Richard Loe,Prop,6 April 1960,25.0,Waikato,New Zealand,1991,1991-10-03,New Zealand,1960-04-06,11502.0
Ian Jones,Lock,17 April 1967,11.0,Northland,New Zealand,1991,1991-10-03,New Zealand,1967-04-17,8935.0
Gary Whetton (c),Lock,15 December 1959,52.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1959-12-15,11615.0
Paul Henderson,Back row,21 September 1964,1.0,Otago,New Zealand,1991,1991-10-03,New Zealand,1964-09-21,9873.0
Michael Jones,Back row,8 April 1965,19.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1965-04-08,9674.0
Mark Carter,Back row,7 November 1968,1.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1968-11-07,8365.0
Andy Earl,Back row,12 September 1961,9.0,Canterbury,New Zealand,1991,1991-10-03,New Zealand,1961-09-12,10978.0
Alan Whetton,Back row,15 December 1959,30.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1959-12-15,11615.0
Zinzan Brooke,Back row,14 February 1965,9.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1965-02-14,9727.0
Graeme Bachop,Scrum-half,11 June 1967,13.0,Canterbury,New Zealand,1991,1991-10-03,New Zealand,1967-06-11,8880.0
Jason Hewett,Scrum-half,17 October 1968,0.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1968-10-17,8386.0
Jon Preston,Scrum-half,15 November 1967,0.0,Canterbury,New Zealand,1991,1991-10-03,New Zealand,1967-11-15,8723.0
Grant Fox,Fly-half,6 June 1962,31.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1962-06-06,10711.0
Craig Innes,Centre,10 September 1969,11.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1969-09-10,8058.0
Walter Little,Centre,14 October 1969,10.0,North Harbour,New Zealand,1991,1991-10-03,New Zealand,1969-10-14,8024.0
Bernie McCahill,Centre,28 June 1964,6.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1964-06-28,9958.0
Va'aiga Tuigamala,Wing,4 September 1969,0.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1969-09-04,8064.0
John Kirwan,Wing,16 December 1964,40.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1964-12-16,9787.0
Terry Wright,Wing,21 March 1963,26.0,Auckland,New Zealand,1991,1991-10-03,New Zealand,1963-03-21,10423.0
Shayne Philpott,Fullback,21 September 1965,0.0,Canterbury,New Zealand,1991,1991-10-03,New Zealand,1965-09-21,9508.0
John Timu,Fullback,8 May 1969,3.0,Otago,New Zealand,1991,1991-10-03,New Zealand,1969-05-08,8183.0
Kieran Crowley,Fullback,31 August 1961,18.0,Taranaki,New Zealand,1991,1991-10-03,New Zealand,1961-08-31,10990.0
Tony Flay,Hooker,15 January 1964,5.0,Old Puget Sound Beach R.F.C.,United States,1991,1991-10-03,United States,1964-01-15,10123.0
Pat Johnson,Hooker,17 March 1960,13.0,Chicago Lions,United States,1991,1991-10-03,United States,1960-03-17,11522.0
Chris Lippert,Prop,31 March 1963,12.0,OMBAC,United States,1991,1991-10-03,United States,1963-03-31,10413.0
Lance Manga,Prop,20 July 1956,4.0,South Jersey R.F.C.,United States,1991,1991-10-03,United States,1956-07-20,12858.0
Norm Mottram,Prop,30 June 1959,6.0,Boulder R.F.C.,United States,1991,1991-10-03,United States,1959-06-30,11783.0
Fred Paoli,Prop,18 February 1954,19.0,Denver Barbarians RFC,United States,1991,1991-10-03,United States,1954-02-18,13741.0
Bill Leversee,Lock,2 June 1964,11.0,OMBAC,United States,1991,1991-10-03,United States,1964-06-02,9984.0
Kevin Swords (c),Lock,1 July 1960,26.0,Old Blue R.F.C.,United States,1991,1991-10-03,United States,1960-07-01,11416.0
Chuck Tunnacliffe,Lock,10 June 1964,1.0,Bowling Green State University R.F.C.,United States,1991,1991-10-03,United States,1964-06-10,9976.0
Rob Farley,Back row,29 December 1962,13.0,Philadelphia Whitemarsh RFC,United States,1991,1991-10-03,United States,1962-12-29,10505.0
Shawn Lipman,Back row,25 September 1964,6.0,Santa Monica Rugby Club,United States,1991,1991-10-03,United States,1964-09-25,9869.0
Mark Sawicki,Back row,26 October 1962,4.0,Chicago Lions,United States,1991,1991-10-03,United States,1962-10-26,10569.0
Jay Wilkerson,Back row,25 January 1966,0.0,Belmont Shore RFC,United States,1991,1991-10-03,United States,1966-01-25,9382.0
Brian Vizard,Back row,4 July 1959,21.0,OMBAC,United States,1991,1991-10-03,United States,1959-07-04,11779.0
Tony Ridnell,Back row,1 January 1961,9.0,Army R.F.C.,United States,1991,1991-10-03,United States,1961-01-01,11232.0
Barry Daily,Scrum-half,15 March 1962,11.0,Denver Barbarians RFC,United States,1991,1991-10-03,United States,1962-03-15,10794.0
Mark Pidcock,Scrum-half,31 October 1961,1.0,OMBAC,United States,1991,1991-10-03,United States,1961-10-31,10929.0
Chris O'Brien,Fly-half,5 August 1964,14.0,University of California R.F.C.,United States,1991,1991-10-03,United States,1964-08-05,9920.0
Mike de Jong,Fly-half,16 October 1962,7.0,Denver Barbarians RFC,United States,1991,1991-10-03,United States,1962-10-16,10579.0
Joe Burke,Centre,9 February 1961,7.0,Chicago Lions,United States,1991,1991-10-03,United States,1961-02-09,11193.0
Kevin Higgins,Centre,8 November 1962,26.0,OMBAC,United States,1991,1991-10-03,United States,1962-11-08,10556.0
Mark Williams,Centre,26 June 1961,15.0,Gentlemen of Aspen RFC,United States,1991,1991-10-03,United States,1961-06-26,11056.0
Gary Hein,Wing,26 March 1965,18.0,University of California R.F.C.,United States,1991,1991-10-03,United States,1965-03-26,9687.0
Eric Whitaker,Wing,24 September 1966,18.0,Saint Mary's College R.F.C.,United States,1991,1991-10-03,United States,1966-09-24,9140.0
Ray Nelson,Fullback,11 June 1961,23.0,Hutchesons' GSFP,Scotland,1991,1991-10-03,United States,1961-06-11,11071.0
Paul Sheehy,Fullback,14 August 1963,0.0,Washington R.F.C.,United States,1991,1991-10-03,United States,1963-08-14,10277.0
Terry Kingston,Hooker,19 September 1963,10.0,Munster Rugby,Ireland,1991,1991-10-03,Ireland,1963-09-19,10241.0
Steve Smith,Hooker,18 July 1959,15.0,Ballymena R.F.C. / Ulster Rugby,Ireland,1991,1991-10-03,Ireland,1959-07-18,11765.0
Jack Clarke,Prop,2 September 1968,3.0,Dolphin RFC / Munster Rugby,Ireland,1991,1991-10-03,Ireland,1968-09-02,8431.0
Gary Halpin,Prop,14 February 1966,1.0,London Irish,England,1991,1991-10-03,Ireland,1966-02-14,9362.0
Nick Popplewell,Prop,6 April 1964,4.0,Greystones RFC / Leinster Rugby,Ireland,1991,1991-10-03,Ireland,1964-04-06,10041.0
Des Fitzgerald,Prop,20 December 1967,29.0,Cork Constitution / Munster Rugby,Ireland,1991,1991-10-03,Ireland,1967-12-20,8688.0
Donal Lenihan,Lock,12 September 1959,48.0,Cork Constitution / Munster Rugby,Ireland,1991,1991-10-03,Ireland,1959-09-12,11709.0
Mick Galwey,Lock,8 October 1966,3.0,Munster Rugby,Ireland,1991,1991-10-03,Ireland,1966-10-08,9126.0
Neil Francis,Lock,17 March 1964,12.0,Old Belvedere RFC / Leinster Rugby,Ireland,1991,1991-10-03,Ireland,1964-03-17,10061.0
Phillip Matthews (c),Back row,21 January 1960,32.0,Ards RFC / Ulster Rugby,Ireland,1991,1991-10-03,Ireland,1960-01-21,11578.0
Brian Robinson,Back row,20 March 1966,6.0,Ards RFC / Ulster Rugby,Ireland,1991,1991-10-03,Ireland,1966-03-20,9328.0
Gordon Hamilton,Back row,13 May 1964,5.0,North of Ireland F.C. / Ulster Rugby,Ireland,1991,1991-10-03,Ireland,1964-05-13,10004.0
Noel Mannion,Back row,12 January 1963,14.0,Galway Corinthians RFC / Connacht Rugby,Ireland,1991,1991-10-03,Ireland,1963-01-12,10491.0
Fergus Aherne,Scrum-half,16 March 1963,12.0,Lansdowne F.C. / Leinster Rugby,Ireland,1991,1991-10-03,Ireland,1963-03-16,10428.0
Rob Saunders,Scrum-half,5 August 1968,6.0,London Irish,England,1991,1991-10-03,Ireland,1968-08-05,8459.0
Ralph Keyes,Fly-half,1 March 1961,1.0,Munster Rugby,Ireland,1991,1991-10-03,Ireland,1961-03-01,11173.0
Vince Cunningham,Centre,14 March 1967,5.0,St Mary's College RFC / Leinster Rugby,Ireland,1991,1991-10-03,Ireland,1967-03-14,8969.0
David Curtis,Centre,10 April 1965,5.0,London Irish,England,1991,1991-10-03,Ireland,1965-04-10,9672.0
Brendan Mullin,Centre,30 October 1963,39.0,Blackrock College RFC / Leinster Rugby,Ireland,1991,1991-10-03,Ireland,1963-10-30,10200.0
Pat O'Hara,Wing,4 August 1961,10.0,Cork Constitution / Munster Rugby,Ireland,1991,1991-10-03,Ireland,1961-08-04,11017.0
Keith Crossan,Wing,29 December 1959,37.0,Ulster Rugby,Ireland,1991,1991-10-03,Ireland,1959-12-29,11601.0
Simon Geoghegan,Wing,1 September 1968,5.0,London Irish,England,1991,1991-10-03,Ireland,1968-09-01,8432.0
Kenny Murphy,Fullback,21 July 1966,9.0,Cork Constitution / Munster Rugby,Ireland,1991,1991-10-03,Ireland,1966-07-21,9205.0
Jim Staples,Fullback,20 October 1965,5.0,London Irish,England,1991,1991-10-03,Ireland,1965-10-20,9479.0
Tsuyoshi Fujita,Hooker,27 January 1961,31.0,IBM R.F.C.,Japan,1991,1991-10-03,Japan,1961-01-27,11206.0
Masahiro Kunda,Hooker,29 September 1966,5.0,Toshiba Fuchu,Japan,1991,1991-10-03,Japan,1966-09-29,9135.0
Osamu Ota,Prop,23 March 1965,12.0,NEC,Japan,1991,1991-10-03,Japan,1965-03-23,9690.0
Masanori Takura,Prop,30 September 1966,8.0,Mitsubishi Heavy Industries Sagamigahara,Japan,1991,1991-10-03,Japan,1966-09-30,9134.0
Kenichi Kimura,Prop,29 December 1968,0.0,Toyota Motors,Japan,1991,1991-10-03,Japan,1968-12-29,8313.0
Kazuaki Takahashi,Prop,31 January 1968,6.0,Toyota Motors,Japan,1991,1991-10-03,Japan,1968-01-31,8646.0
Toshiyuki Hayashi,Lock,8 February 1960,34.0,Kobe Steel,Japan,1991,1991-10-03,Japan,1960-02-08,11560.0
Atsushi Oyagi,Lock,15 August 1961,28.0,Kobe Steel,Japan,1991,1991-10-03,Japan,1961-08-15,11006.0
Ekeroma Luaiufi,Lock,8 May 1963,8.0,NikoNikoDo [ja],Japan,1991,1991-10-03,Japan,1963-05-08,10375.0
Hirofumi Ouchi,Back row,26 January 1968,2.0,Ryukoku University R.F.U.,Japan,1991,1991-10-03,Japan,1968-01-26,8651.0
Hiroyuki Kajihara,Back row,28 September 1966,10.0,Toshiba Fuchu,Japan,1991,1991-10-03,Japan,1966-09-28,9136.0
Katsufumi Miyamoto,Back row,19 March 1966,8.0,Sanyo Electric,Japan,1991,1991-10-03,Japan,1966-03-19,9329.0
Shuji Nakashima,Back row,8 July 1963,10.0,Japan Electric,Japan,1991,1991-10-03,Japan,1963-07-08,10314.0
Sinali Latu,Back row,22 August 1965,16.0,Sanyo Electric,Japan,1991,1991-10-03,Japan,1965-08-22,9538.0
Masami Horikoshi,Scrum-half,27 November 1968,11.0,Kobe Steel,Japan,1991,1991-10-03,Japan,1968-11-27,8345.0
Wataru Murata,Scrum-half,25 January 1968,1.0,Kobe Steel,Japan,1991,1991-10-03,Japan,1968-01-25,8652.0
Shinobu Aoki,Fly-half,26 January 1968,4.0,Ricoh,Japan,1991,1991-10-03,Japan,1968-01-26,8651.0
Katsuhiro Matsuo,Fly-half,6 January 1964,14.0,World Co.,Japan,1991,1991-10-03,Japan,1964-01-06,10132.0
Eiji Kutsuki,Centre,25 December 1962,22.0,Toyota Motors,Japan,1991,1991-10-03,Japan,1962-12-25,10509.0
Seiji Hirao (c),Centre,21 January 1963,29.0,Kobe Steel,Japan,1991,1991-10-03,Japan,1963-01-21,10482.0
Yukio Motoki,Centre,27 August 1971,3.0,Meiji University R.F.C.,Japan,1991,1991-10-03,Japan,1971-08-27,7342.0
Terunori Masuho,Wing,29 January 1972,2.0,Waseda University R.F.C.,Japan,1991,1991-10-03,Japan,1972-01-29,7187.0
Yoshihito Yoshida,Wing,18 February 1969,13.0,Isetan,Japan,1991,1991-10-03,Japan,1969-02-18,8262.0
Tsutomu Matsuda,Wing,30 April 1970,0.0,Kanto Gakuin University R.F.U.,Japan,1991,1991-10-03,Japan,1970-04-30,7826.0
Takahiro Hosokawa,Fullback,1 April 1967,5.0,Kobe Steel,Japan,1991,1991-10-03,Japan,1967-04-01,8951.0
Tatsuya Maeda,Fullback,23 September 1968,3.0,NTT Kansai R.F.C.,Japan,1991,1991-10-03,Japan,1968-09-23,8410.0
John Allan,Hooker,25 November 1963,4.0,Edinburgh Academical F.C.,Scotland,1991,1991-10-03,Scotland,1963-11-25,10174.0
David Sole (c),Prop,8 May 1962,33.0,Edinburgh Academical F.C.,Scotland,1991,1991-10-03,Scotland,1962-05-08,10740.0
Paul Burnell,Prop,29 September 1965,15.0,London Scottish F.C.,England,1991,1991-10-03,Scotland,1965-09-29,9500.0
David Milne,Prop,7 December 1958,0.0,Heriots FP,Scotland,1991,1991-10-03,Scotland,1958-12-07,11988.0
Alan Watt,Prop,10 July 1967,0.0,Glasgow High Kelvinside,Scotland,1991,1991-10-03,Scotland,1967-07-10,8851.0
Chris Gray,Lock,11 July 1960,17.0,Nottingham R.F.C.,England,1991,1991-10-03,Scotland,1960-07-11,11406.0
Doddie Weir,Lock,4 July 1970,2.0,Melrose RFC,Scotland,1991,1991-10-03,Scotland,1970-07-04,7761.0
John Jeffrey,Back row,25 March 1959,35.0,Kelso RFC,Scotland,1991,1991-10-03,Scotland,1959-03-25,11880.0
Finlay Calder,Back row,20 August 1957,29.0,Heriots FP,Scotland,1991,1991-10-03,Scotland,1957-08-20,12462.0
Graham Marshall,Back row,23 May 1960,3.0,Wakefield RFC,England,1991,1991-10-03,Scotland,1960-05-23,11455.0
Derek White,Back row,30 January 1958,31.0,London Scottish F.C.,England,1991,1991-10-03,Scotland,1958-01-30,12299.0
Gary Armstrong,Scrum-half,30 September 1966,19.0,Jed-Forest RFC,Scotland,1991,1991-10-03,Scotland,1966-09-30,9134.0
Greig Oliver,Scrum-half,12 September 1964,2.0,Hawick RFC,Scotland,1991,1991-10-03,Scotland,1964-09-12,9882.0
Craig Chalmers,Fly-half,15 October 1968,17.0,Melrose RFC,Scotland,1991,1991-10-03,Scotland,1968-10-15,8388.0
Sean Lineen,Centre,25 December 1961,18.0,Boroughmuir RFC,Scotland,1991,1991-10-03,Scotland,1961-12-25,10874.0
Scott Hastings,Centre,4 December 1964,30.0,Watsonian FC,Scotland,1991,1991-10-03,Scotland,1964-12-04,9799.0
Graham Shiel,Centre,13 August 1970,0.0,Melrose RFC,Scotland,1991,1991-10-03,Scotland,1970-08-13,7721.0
Iwan Tukalo,Wing,5 March 1961,25.0,Heriots FP,Scotland,1991,1991-10-03,Scotland,1961-03-05,11169.0
Tony Stanger,Wing,14 May 1968,14.0,Hawick RFC,Scotland,1991,1991-10-03,Scotland,1968-05-14,8542.0
Douglas Wyllie,Wing,20 May 1963,11.0,Selkirk RFC,Scotland,1991,1991-10-03,Scotland,1963-05-20,10363.0
Gavin Hastings,Fullback,3 January 1962,31.0,Watsonian FC,Scotland,1991,1991-10-03,Scotland,1962-01-03,10865.0
Peter Dods,Fullback,6 January 1958,21.0,Gala RFC,Scotland,1991,1991-10-03,Scotland,1958-01-06,12323.0
Brian Beattie,Hooker,16 April 1969,0.0,unknown,,1991,1991-10-03,Zimbabwe,1969-04-16,8205.0
Adrian Garvey,Hooker,25 June 1968,2.0,Old Miltonians RFC,Zimbabwe,1991,1991-10-03,Zimbabwe,1968-06-25,8500.0
Robin Hunter,Prop,25 September 1964,0.0,unknown,,1991,1991-10-03,Zimbabwe,1964-09-25,9869.0
Alex Nicholls,Prop,4 August 1958,2.0,unknown,,1991,1991-10-03,Zimbabwe,1958-08-04,12113.0
Gary Snyder,Prop,8 March 1972,0.0,unknown,,1991,1991-10-03,Zimbabwe,1972-03-08,7148.0
Chris Roberts,Prop,18 September 1967,0.0,unknown,,1991,1991-10-03,Zimbabwe,1967-09-18,8781.0
Michael Martin,Lock,25 December 1959,3.0,unknown,,1991,1991-10-03,Zimbabwe,1959-12-25,11605.0
Neville Kloppers,Lock,circa 1962,1.0,unknown,,1991,1991-10-03,Zimbabwe,,
Rob Demblon,Lock,13 August 1966,0.0,unknown,,1991,1991-10-03,Zimbabwe,1966-08-13,9182.0
Chris Botha,Lock,1 September 1968,0.0,unknown,,1991,1991-10-03,Zimbabwe,1968-09-01,8432.0
Brendon Dawson,Back row,1 September 1968,3.0,Old Miltonians RFC,Zimbabwe,1991,1991-10-03,Zimbabwe,1968-09-01,8432.0
Darren Muirhead,Back row,23 December 1965,0.0,unknown,,1991,1991-10-03,Zimbabwe,1965-12-23,9415.0
Brenton Catterall,Back row,19 July 1969,0.0,unknown,,1991,1991-10-03,Zimbabwe,1969-07-19,8111.0
Honeywell Nguruve,Back row,12 August 1969,0.0,Old Georgians R.F.C.,Zimbabwe,1991,1991-10-03,Zimbabwe,1969-08-12,8087.0
Andy Ferreira,Scrum-half,26 June 1961,6.0,Old Georgians R.F.C.,Zimbabwe,1991,1991-10-03,Zimbabwe,1961-06-26,11056.0
Ewan MacMillan,Scrum-half,3 January 1971,0.0,unknown,,1991,1991-10-03,Zimbabwe,1971-01-03,7578.0
Craig Brown,Fly-half,1 February 1968,1.0,unknown,,1991,1991-10-03,Zimbabwe,1968-02-01,8645.0
Ralph Kuhn,Fly-half,8 February 1963,1.0,unknown,,1991,1991-10-03,Zimbabwe,1963-02-08,10464.0
Mark Letcher,Centre,14 October 1965,3.0,unknown,,1991,1991-10-03,Zimbabwe,1965-10-14,9485.0
Ian Noble,Centre,6 April 1972,0.0,South Eastern Transvaal,South Africa,1991,1991-10-03,Zimbabwe,1972-04-06,7119.0
Richard Tsimba,Centre,9 July 1965,2.0,Old Georgians R.F.C.,Zimbabwe,1991,1991-10-03,Zimbabwe,1965-07-09,9582.0
David Walters,Wing,16 November 1968,3.0,unknown,,1991,1991-10-03,Zimbabwe,1968-11-16,8356.0
William Schultz,Wing,3 November 1968,0.0,unknown,,1991,1991-10-03,Zimbabwe,1968-11-03,8369.0
Elimon Chimbima,Wing,1 January 1969,3.0,unknown,,1991,1991-10-03,Zimbabwe,1969-01-01,8310.0
Brian Currin (c),Fullback,15 September 1960,0.0,unknown,,1991,1991-10-03,Zimbabwe,1960-09-15,11340.0
